"STUDENT_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","JOINING_DATE","SPECIALIZATION","STIPEND","BONUS","MANAGER_ID","COORDINATOR_ID"
139,"John","Seo","JSEO","650.121.2019",12-FEB-06,"POWERCENTER",2700,,123,50
140,"Joshua","Patel","JPATEL","650.121.1834",06-APR-06,"POWERCENTER",2500,,123,50
141,"Trenna","Rajs","TRAJS","650.121.8009",17-OCT-03,"POWERCENTER",3500,,124,50
142,"Curtis","Davies","CDAVIES","650.121.2994",29-JAN-05,"POWERCENTER",3100,,124,50
143,"Randall","Matos","RMATOS","650.121.2874",15-MAR-06,"POWERCENTER",2600,,124,50
144,"Peter","Vargas","PVARGAS","650.121.2004",09-JUL-06,"POWERCENTER",2500,,124,50
145,"John","Russell","JRUSSEL","011.44.1344.429268",01-OCT-04,"POWERCENTER",14000,0.4,100,80
146,"Karen","Partners","KPARTNER","011.44.1344.467268",05-JAN-05,"POWERCENTER",13500,0.3,100,80
147,"Alberto","Errazuriz","AERRAZUR","011.44.1344.429278",10-MAR-05,"POWERCENTER",12000,0.3,100,80
148,"Gerald","Cambrault","GCAMBRAU","011.44.1344.619268",15-OCT-07,"POWERCENTER",11000,0.3,100,80
149,"Eleni","Zlotkey","EZLOTKEY","011.44.1344.429018",29-JAN-08,"POWERCENTER",10500,0.2,100,80
150,"Peter","Tucker","PTUCKER","011.44.1344.129268",30-JAN-05,"POWERCENTER",10000,0.3,145,80
151,"David","Bernstein","DBERNSTE","011.44.1344.345268",24-MAR-05,"TALEND",9500,0.25,145,80
152,"Peter","Hall","PHALL","011.44.1344.478968",20-AUG-05,"TALEND",9000,0.25,145,80
153,"Christopher","Olsen","COLSEN","011.44.1344.498718",30-MAR-06,"TALEND",8000,0.2,145,80
154,"Nanette","Cambrault","NCAMBRAU","011.44.1344.987668",09-DEC-06,"TALEND",7500,0.2,145,80
155,"Oliver","Tuvault","OTUVAULT","011.44.1344.486508",23-NOV-07,"TALEND",7000,0.15,145,80
156,"Janette","King","JKING","011.44.1345.429268",30-JAN-04,"TALEND",10000,0.35,146,80
157,"Patrick","Sully","PSULLY","011.44.1345.929268",04-MAR-04,"TALEND",9500,0.35,146,80
158,"Allan","McEwen","AMCEWEN","011.44.1345.829268",01-AUG-04,"TALEND",9000,0.35,146,80
159,"Lindsey","Smith","LSMITH","011.44.1345.729268",10-MAR-05,"TALEND",8000,0.3,146,80
160,"Louise","Doran","LDORAN","011.44.1345.629268",15-DEC-05,"TALEND",7500,0.3,146,80
161,"Sarath","Sewall","SSEWALL","011.44.1345.529268",03-NOV-06,"TALEND",7000,0.25,146,80
162,"Clara","Vishney","CVISHNEY","011.44.1346.129268",11-NOV-05,"TALEND",10500,0.25,147,80
163,"Danielle","Greene","DGREENE","011.44.1346.229268",19-MAR-07,"TALEND",9500,0.15,147,80
164,"Mattea","Marvins","MMARVINS","011.44.1346.329268",24-JAN-08,"TALEND",7200,0.1,147,80
165,"David","Lee","DLEE","011.44.1346.529268",23-FEB-08,"TALEND",6800,0.1,147,80
166,"Sundar","Ande","SANDE","011.44.1346.629268",24-MAR-08,"TALEND",6400,0.1,147,80
167,"Amit","Banda","ABANDA","011.44.1346.729268",21-APR-08,"TALEND",6200,0.1,147,80
168,"Lisa","Ozer","LOZER","011.44.1343.929268",11-MAR-05,"TALEND",11500,0.25,148,80
169,"Harrison","Bloom","HBLOOM","011.44.1343.829268",23-MAR-06,"TALEND",10000,0.2,148,80
170,"Tayler","Fox","TFOX","011.44.1343.729268",24-JAN-06,"TALEND",9600,0.2,148,80
171,"William","Smith","WSMITH","011.44.1343.629268",23-FEB-07,"TALEND",7400,0.15,148,80
172,"Elizabeth","Bates","EBATES","011.44.1343.529268",24-MAR-07,"TALEND",7300,0.15,148,80
173,"Sundita","Kumar","SKUMAR","011.44.1343.329268",21-APR-08,"TALEND",6100,0.1,148,80
174,"Ellen","Abel","EABEL","011.44.1644.429267",11-MAY-04,"SSIS",11000,0.3,149,80
175,"Alyssa","Hutton","AHUTTON","011.44.1644.429266",19-MAR-05,"SSIS",8800,0.25,149,80
176,"Jonathon","Taylor","JTAYLOR","011.44.1644.429265",24-MAR-06,"SSIS",8600,0.2,149,80
177,"Jack","Livingston","JLIVINGS","011.44.1644.429264",23-APR-06,"SSIS",8400,0.2,149,80
178,"Kimberely","Grant","KGRANT","011.44.1644.429263",24-MAY-07,"SSIS",7000,0.15,149,
179,"Charles","Johnson","CJOHNSON","011.44.1644.429262",04-JAN-08,"SSIS",6200,0.1,149,80
180,"Winston","Taylor","WTAYLOR","650.507.9876",24-JAN-06,"SSIS",3200,,120,50
181,"Jean","Fleaur","JFLEAUR","650.507.9877",23-FEB-06,"SSIS",3100,,120,50
182,"Martha","Sullivan","MSULLIVA","650.507.9878",21-JUN-07,"SSIS",2500,,120,50
183,"Girard","Geoni","GGEONI","650.507.9879",03-FEB-08,"SSIS",2800,,120,50
184,"Nandita","Sarchand","NSARCHAN","650.509.1876",27-JAN-04,"SSIS",4200,,121,50
185,"Alexis","Bull","ABULL","650.509.2876",20-FEB-05,"SSIS",4100,,121,50
186,"Julia","Dellinger","JDELLING","650.509.3876",24-JUN-06,"SSIS",3400,,121,50
187,"Anthony","Cabrio","ACABRIO","650.509.4876",07-FEB-07,"SSIS",3000,,121,50
188,"Kelly","Chung","KCHUNG","650.505.1876",14-JUN-05,"SSIS",3800,,122,50
189,"Jennifer","Dilly","JDILLY","650.505.2876",13-AUG-05,"SSIS",3600,,122,50
190,"Timothy","Gates","TGATES","650.505.3876",11-JUL-06,"SSIS",2900,,122,50
191,"Randall","Perkins","RPERKINS","650.505.4876",19-DEC-07,"SSIS",2500,,122,50
192,"Sarah","Bell","SBELL","650.501.1876",04-FEB-04,"SSIS",4000,,123,50
193,"Britney","Everett","BEVERETT","650.501.2876",03-MAR-05,"POWERBI",3900,,123,50
194,"Samuel","McCain","SMCCAIN","650.501.3876",01-JUL-06,"POWERBI",3200,,123,50
195,"Vance","Jones","VJONES","650.501.4876",17-MAR-07,"POWERBI",2800,,123,50
196,"Alana","Walsh","AWALSH","650.507.9811",24-APR-06,"POWERBI",3100,,124,50
197,"Kevin","Feeney","KFEENEY","650.507.9822",23-MAY-06,"POWERBI",3000,,124,50
198,"Donald","OConnell","DOCONNEL","650.507.9833",21-JUN-07,"POWERBI",2600,,124,50
199,"Douglas","Grant","DGRANT","650.507.9844",13-JAN-08,"POWERBI",2600,,124,50
200,"Jennifer","Whalen","JWHALEN","515.123.4444",17-SEP-03,"POWERBI",4400,,101,10
201,"Michael","Hartstein","MHARTSTE","515.123.5555",17-FEB-04,"POWERBI",13000,,100,20
202,"Pat","Fay","PFAY","603.123.6666",17-AUG-05,"POWERBI",6000,,201,20
203,"Susan","Mavris","SMAVRIS","515.123.7777",07-JUN-02,"POWERBI",6500,,101,40
204,"Hermann","Baer","HBAER","515.123.8888",07-JUN-02,"POWERBI",10000,,101,70
205,"Shelley","Higgins","SHIGGINS","515.123.8080",07-JUN-02,"POWERBI",12008,,101,110
206,"William","Gietz","WGIETZ","515.123.8181",07-JUN-02,"POWERBI",8300,,205,110
207,"Julia","Dellinger","JDELLING","650.509.3876",24-JUN-06,"TABLUE",3400,,121,50
208,"Anthony","Cabrio","ACABRIO","650.509.4876",07-FEB-07,"TABLUE",3000,,121,50
209,"Kelly","Chung","KCHUNG","650.505.1876",14-JUN-05,"TABLUE",3800,,122,50
210,"Jennifer","Dilly","JDILLY","650.505.2876",13-AUG-05,"TABLUE",3600,,122,50
211,"Timothy","Gates","TGATES","650.505.3876",11-JUL-06,"TABLUE",2900,,122,50
212,"Randall","Perkins","RPERKINS","650.505.4876",19-DEC-07,"TABLUE",2500,,122,50
213,"Sarah","Bell","SBELL","650.501.1876",04-FEB-04,"TABLUE",4000,,123,50
214,"Britney","Everett","BEVERETT","650.501.2876",03-MAR-05,"TABLUE",3900,,123,50
215,"Samuel","McCain","SMCCAIN","650.501.3876",01-JUL-06,"TABLUE",3200,,123,50
216,"Vance","Jones","VJONES","650.501.4876",17-MAR-07,"TABLUE",2800,,123,50
217,"Alana","Walsh","AWALSH","650.507.9811",24-APR-06,"TABLUE",3100,,124,50
218,"Kevin","Feeney","KFEENEY","650.507.9822",23-MAY-06,"TABLUE",3000,,124,50
